English,Persian
amp,امپ
ingredients,عناصر
sb,SB
ah,مون
johnny,جانی
sole,تنها
franchise,حق امتیاز
recorder,ضبط کننده
complaints,شکایات
facing,روکش
sm,اسماع
nancy,ناسی
promotions,تبلیغات
tones,تن
passion,شور
rehabilitation,توانبخشی
maintaining,نگهداری
sight,منظره
laid,عاری از
clay,خاک رس
defence,دفاع
patches,تکه
weak,ضعیف
refund,بازپرداخت
usc,USC
towns,شهر
environments,محیط
trembl,لرزش
divided,تقسیم شده
blvd,بلوار
reception,پذیرایی
amd,amd
wise,عاقل
emails,ایمیل
cyprus,قبرس
wv,شکن
odds,شانس
correctly,به درستی
insider,خودی
seminars,سمینارها
consequences,عواقب
makers,سازنده
hearts,قلبها
geography,جغرافیا
appearing,ظاهر
integrity,تمامیت
worry,نگران بودن
ns,نزاع
discrimination,تبعیض
eve,شب
carter,کارتر
legacy,میراث
marc,مارپیچ
pleased,راضی
danger,خطر
vitamin,ویتامین
widely,به طور گسترده ای
processed,فرآوری شده
phrase,عبارت
genuine,اصل
raising,افزایش
implications,پیامدهای
functionality,عملکرد
paradise,بهشت
hybrid,ترکیبی
reads,می خواند
roles,نقش
intermediate,حد واسط
emotional,عاطفی
sons,پسران
leaf,برگ
pad,لگد
glory,جلال
platforms,بستر، زمینه
ja,جبهه
bigger,بزرگتر
billing,صورتحساب
diesel,دیزل
versus,در مقابل
combine,ترکیب کردن
overnight,یک شب
geographic,وابسته به جغرافیایی
exceed,تجاوز
bs,لیسانس
rod,میله
saudi,سعودی
fault,عیب
cuba,کوبا
hrs,ساعت
preliminary,مقدماتی
districts,ولسوالی
introduce,معرفی کردن
silk,ابریشم
promotional,تبلیغاتی
kate,کیت
chevrolet,شورولت
babies,نوزادان
bi,دو
karen,کارن
compiled,گرددار
romantic,رومانتیک
revealed,فاش شده
specialists,متخصص
generator,تولید کننده
albert,آلب آلبرت
examine,معاینه کردن
jimmy,جیمی
graham,گراهام
suspension,تعلیق
bristol,بریستول
margaret,مارگارت
compaq,کپی
sad,غمگین
correction,تصحیح
wolf,گرگ
slowly,به آرامی
authentication,احراز هویت
communicate,برقراری ارتباط
rugby,راگبی
supplement,مکمل
showtimes,بارها و بارها
cal,کربن
portions,بخش ها
infant,نوزاد
promoting,ترویج
sectors,بخش
samuel,ساموئل
fluid,مایع
grounds,زمینه
fits,متناسب بودن
kick,لگد زدن
regards,با احترام
meal,وعده غذایی
ta,باسن
hurt,صدمه
machinery,دستگاه
bandwidth,پهنای باند
unlike,برخلاف
equation,معادله
baskets,سبد
probability,احتمال
pot,گلدان
dimension,بعد، ابعاد، اندازه
wright,راس
img,IMG
barry,باری
proven,ثابت شده
schedules,برنامه
admissions,پذیرش
cached,ذخیره شده
warren,جبهه
slip,لیز خوردن
studied,مورد مطالعه
reviewer,بازبین
involves,درگیر کردن
quarterly,سه ماه یکبار
rpm,دور در دقیقه
profits,سود
devil,شیطان
grass,چمن
comply,رعایت کردن
marie,ماری
florist,گلفروش
illustrated,مصور
cherry,گیلاس
continental,قاره
alternate,متناوب
deutsch,آلمانی
achievement,دستاورد
limitations,محدودیت ها
kenya,کنیا
webcam,وبکم
cuts,برش
funeral,مراسم خاکسپاری
nutten,گندیده
earrings,گوشواره
enjoyed,لذت بخش
automated,خودکار
chapters,فصل
pee,ادرار
charlie,چارلی
quebec,کویبک
nipples,نوک سینه
passenger,مسافر
convenient,راحت
dennis,دنیس
mars,مریخ
francis,فرانسیس
tvs,تلویزیون
sized,اندازه
manga,مانگا
noticed,مورد توجه
socket,سوکت
silent,بی صدا
literary,ادبی
egg,تخم مرغ
mhz,MHz
signals,نشان
caps,کلاه
orientation,گرایش
pill,قرص
theft,سرقت
childhood,دوران کودکی
swing,تاب خوردن
symbols,نماد
lat,لات
meta,متا
humans,انسان
analog,قیاسی
facial,صورت
choosing,انتخاب
talent,استعداد
dated,تاریخ
flexibility,انعطاف پذیری
seeker,جستجو کننده
wisdom,حکمت
shoot,شلیک
boundary,مرز
mint,نعناع
packard,پارت
offset,انحراف
payday,روز پرداخت
philip,فیلیپ
elite,نخبه
gi,گسی
spin,چرخش
holders,نگهدارنده
believes,اعتقاد دارد
swedish,سوئدی
poems,شعر
deadline,ضرب الاجل
jurisdiction,صلاحیت قضایی
robot,ربات
displaying,نمایش
witness,شهادت
collins,کولینز
equipped,مجهز بودن
stages,مراحل
encouraged,ترغیب شده
sur,جنجال
winds,بادها
powder,پودر
broadway,راهرو
acquired,به دست آمده
assess,ارزیابی کردن
wash,شستشو
cartridges,کارتریج
stones,سنگ ها
entrance,ورود
gnome,گنگ
roots,ریشه
declaration,اعلام
losing,از دست دادن
attempts,تلاش
gadgets,وسایل
noble,شریف
glasgow,گلاسکو
automation,اتوماسیون
impacts,اثرات
rev,ریم
gospel,انجیل
advantages,مزایای
shore,ساحل
loves,محبت
induced,القاء شده
ll,ll
knight,شوالیه
preparing,آماده كردن
loose,سست
aims,اهداف
recipient,دریافت کننده
linking,ربط دادن
extensions,الحاق
appeals,تجدیدنظر
cl,کلوچه
earned,به دست آورده
illness,بیماری
islamic,اسلامی
athletics,ورزشکاری
southeast,جنوب شرقی
ieee,IEEE
ho,با صدای بلند
alternatives,جایگزین، گزینه ها
pending,انتظار
parker,پارکر
determining,تعیین کننده
lebanon,لبنان
corp,جبهه
personalized,شخصی
kennedy,کندی
gt,GT
sh,سعادت
conditioning,شرط بندی
teenage,نوجوان
soap,صابون
ae,عید
triple,سه گانه
cooper,کوپر
nyc,NYC
vincent,وینسنت
jam,مربا
secured,ایمن
unusual,غیر معمول
answered,جواب داد
partnerships,شراکت
destruction,تخریب
slots,اسلات
increasingly,بطور فزاینده
migration,مهاجرت
disorder,بی نظمی
routine,روال
toolbar,نوار ابزار
basically,اساسا
rocks,سنگ
conventional,مرسوم
titans,عناوین
applicants,متقاضیان
wearing,پوشیده
axis,محور
sought,دنبال کردن
genes,ژن ها
mounted,نصب شده
habitat,زیستگاه
firewall,دیواره آتش
median,میانه
guns,اسلحه
scanner,اسکنر
herein,در اینجا
occupational,شغلی
animated,متحرک
horny,شاخی
judicial,قضایی
rio,ریو
hs,HS
adjustment,تنظیم
hero,قهرمان
integer,عدد صحیح
treatments,درمان
bachelor,عزب
attitude,نگرش
camcorders,دوربین
engaged,نامزد شده
falling,سقوط
basics,اصول اولیه
montreal,وابسته به مونترال
carpet,فرش
rv,RV
struct,ساختار
lenses,لنز
binary,دودویی
genetics,ژنتیک
attended,ممتاز
difficulty,سختی
punk,پانک
collective,وابسته به
coalition,ائتلاف
pi,پيشگاه
dropped,کاهش یافته است
enrollment,ثبت نام
duke,دوک
walter,والتر
ai,عده
pace,سرعت
besides,بعلاوه
wage,حق الزحمه
producers,تهیه کنندگان
ot,ot
collector,جمع کننده
arc,قوس
hosts,میزبان
interfaces,رابط
advertisers,تبلیغ کنندگان
moments,لحظات
atlas,نقشه اطلس
strings,رشته های
dawn,سحر
representing,نمایندگی
observation,مشاهده
feels,احساس کردن
torture,شکنجه
carl,کارل
deleted,حذف شده
coat,روکش
mitchell,میچل
mrs,خانم
rica,ریکا
restoration,ترمیم
convenience,راحتی
returning,عودت
ralph,رالف
opposition,مخالفت
container,کانتینر
yr,سال
defendant,مدافع
warner,زرنگ
confirmation,تائیدیه
app,برنامه
embedded,تعبیه شده
inkjet,جوهر افشان
supervisor,سرپرست
wizard,جادوگر
corps,سپاه
actors,بازیگران
liver,کبد
peripherals,محیط زیست
liable,قابل قبول
brochure,بروشور
morris,موریس
bestsellers,بهترین فروشندگان
petition,دادخواست
eminem,امینم
recall,به خاطر آوردن
antenna,آنتن
picked,انتخاب شده
assumed,فرض
departure,عزیمت، خروج
minneapolis,مینیاپولیس
belief,اعتقاد
killing,کشتار
bikini,دوقطبی
memphis,محله
shoulder,شانه
decor,دکوراسیون
lookup,جستجو
texts,متن
harvard,هاروارد
brokers,کارگزار
roy,روی
ion,یون
diameter,قطر
ottawa,اوتاوا
doll,عروسک
ic,مدار مجتمع
podcast,پادکست
tit,تیتراژ
seasons,فصل ها
peru,پروانه
interactions,فعل و انفعالات
refine,پالودن
bidder,پیشنهاد دهنده
singer,خواننده
evans,ایوانز
herald,قاصد
literacy,سواد
fails,ناکام
aging,سالخورده
nike,نایک
intervention,مداخله
pissing,دلهره
fed,تغذیه
plugin,پژمان
attraction,جذابیت
diving,شیرجه زدن
invite,دعوت
modification,تغییر
alice,آلیس
latinas,لاتین
suppose,فرض کردن
customized,سفارشی
reed,نی
involve,مشارکت کردن
moderate,در حد متوسط
terror,وحشت
younger,جوان تر
thirty,سی
mice,موش
opposite,مخالف
understood,فهمیده
rapidly,به طور سریع
dealtime,زمان معامله
ban,ممنوعیت
temp,دما
intro,مقدمه
mercedes,مرسدس
zus,جوهر
assurance,اطمینان
fisting,مشت
clerk,منشی
happening,اتفاق
vast,وسیع
mills,کارخانه
outline,طرح کلی
amendments,اصلاحات
tramadol,ترامادول
holland,هلند
receives,دریافت کردن
jeans,شلوار جین
metropolitan,شهر بزرگ
compilation,تلفیقی
verification,تایید
fonts,قلم
ent,گام
odd,فرد
wrap,بسته بندی کردن
refers,اشاره دارد
mood,حالت
favor,لطف
veterans,جانباز
quiz,کوشش
mx,MX
sigma,سیگما
gr,جبهه
attractive,جذاب
xhtml,XHTML
occasion,مناسبت
recordings,ضبط
jefferson,جفرسون
victim,قربانی
demands,خواسته ها
sleeping,خوابیده
careful,مراقب
ext,خارج کردن
beam,پرتو
gardening,باغبانی
obligations,تعهدات
arrive,فرا گرفتن
orchestra,ارکستر
sunset,غروب
tracked,ردیابی شده
moreover,علاوه بر این
minimal,حداقل
polyphonic,متعدد
lottery,بخت آزمایی
tops,قله
framed,قاب
aside,گذشته از
outsourcing,برون سپاری
licence,مجوز
adjustable,قابل تنظیم
allocation,تخصیص
michelle,میشل
essay,مقاله
discipline,انضباط
amy,امی
ts,در نظر گرفتن
demonstrated,نشان داده شده
dialogue,گفتگو
identifying,شناسایی
alphabetical,حروف الفبا
camps,اردوگاه ها
declared,اعلام شده
dispatched,اعزام شده
aaron,هارون
handheld,دستی
trace,پی گیری
disposal,دسترس
shut,تعطیل شدن
florists,گل فروشی
packs,بسته
ge,GE
installing,نصب
switches,سوئیچ
romania,واقع در رومانی
voluntary,داوطلبانه
ncaa,NCAA
thou,تو
consult,مشورت کردن
phd,دکترا
greatly,بسیار
blogging,وبلاگ نویسی
mask,ماسک
cycling,دوچرخه سواري
midnight,نیمه شب
ng,نزاع
commonly,معمولاً
pe,پلی اتیلن
photographer,عکاس
inform,آگاه کردن
turkish,ترکی
coal,زغال سنگ
cry,گریه کردن
messaging,پیام رسانی
pentium,پسیوم
quantum,مقدار
murray,موری
intent,قصد
tt,TT
zoo,باغ وحش
largely,عمدتاً
pleasant,دلپذیر
announce,اعلام
constructed,ساخته شده
additions,موارد اضافی
requiring,الزام
spoke,سخن
aka,موسوم به
arrow,فلش
engagement,نامزدی
sampling,نمونه گیری
rough,زبر
weird,عجیب و غریب
tee,توری
refinance,بازپرداخت
lion,شیر نر
inspired,الهام گرفته
holes,سوراخ
weddings,مراسم ازدواج
blade,تیغه
suddenly,ناگهان
oxygen,اکسیژن
cookie,کوکی
meals,وعده های غذایی
canyon,دره
goto,رفتن به
meters,متر
merely,صرفا - فقط
calendars,تقویم
arrangement,ترتیب
conclusions,نتیجه گیری
passes,عبور
bibliography,کتابشناسی - فهرست کتب
pointer,اشاره کننده
compatibility,سازگاری
stretch,کش آمدن
durham,دورام
furthermore,علاوه بر این
permits,مجوز
cooperative,تعاونی
muslim,مسلمان
xl,XL
neil,نیل
sleeve,آستین
netscape,توری
cleaner,پاک کننده
cricket,کریکت
beef,گوشت گاو
feeding,تغذیه
stroke,سکته
township,شهر
rankings,رتبه بندی
measuring,اندازه گیری
cad,محفل
hats,کلاه
robin,راس
robinson,رابینسون
jacksonville,جکسونویل
strap,بند
headquarters,مرکز فرماندهی
sharon,شارون
crowd,جمعیت
tcp,TCP
transfers,انتقال
surf,موج سواری
olympic,المپیک
transformation,دگرگونی
remained,باقی مانده
attachments,پیوست ها
dv,DV
dir,خط
entities,موجودیت ها
customs,گمرک
administrators,سرپرست
personality,شخصیت
rainbow,رنگين كمان
hook,قلاب
roulette,رولت
decline,کاهش می یابد
gloves,دستکش
israeli,اسرائیلی
medicare,مدیکار
cord,طناب
skiing,اسکی
cloud,ابری
facilitate,تسهیل کردن
subscriber,مشترک
valve,شیر فلکه
val,دره
hewlett,هولت
explains,توضیح دادن
proceed,ادامه دادن
flickr,تله
feelings,احساس
knife,چاقو
jamaica,جامائیکا
priorities,اولویت های
shelf,تاقچه
bookstore,کتابفروشی
timing,زمان سنجی
liked,دوست داشت
parenting,پدر و مادر
adopt,اتخاذ کردن
denied,تکذیب کرد
fotos,پوزخند
incredible,باور نکردنی
britney,بریتانیا
freeware,وسایل نقلیه رایگان
fucked,لعنتی
donation,اهدای
outer,بیرونی
crop,محصول
deaths,فوت‌شدگان
rivers,رودخانه
commonwealth,مشترک المنافع
pharmaceutical,دارویی
manhattan,منهتن
tales,داستان
katrina,کاترینا
workforce,نیروی کار
islam,اسلام
nodes,گره
tu,تو
fy,کله
thumbs,شست
seeds,دانه
cited,اشاره شده
lite,لیت
ghz,GHz
hub,قطب
targeted,هدفمند
organizational,سازمانی
skype,اسکایپ
realized,تحقق یافته
twelve,دوازده
founder,موسس
decade,دهه
gamecube,مکعب بازی
rr,RR
dispute,اختلاف نظر
portuguese,پرتغالی
tired,خسته
titten,تسخیر کردن
adverse,نامطلوب
everywhere,هر کجا
excerpt,گزیده
eng,مشاجره کردن
steam,بخار
discharge,تخلیه
ef,EF
drinks,نوشیدنی
ace,اچ
voices,صدا
acute,حاد
halloween,هالووین
climbing,سنگ نوردی
stood,ایستاده
sing,آواز خواندن
tons,تن
perfume,عطر
carol,کارول
honest,صادق
albany,آلبوم
hazardous,خطرناک
restore,بازگرداندن
stack,پشته
methodology,روش شناسی
somebody,کسی
sue,شکایت کردن
ep,قسمت
housewares,خانه های خانگی
reputation,شهرت، آبرو
resistant,مقاوم
democrats,دموکرات
recycling,بازیافت
hang,آویزان شدن
gbp,GBP
curve,منحنی
creator,ایجاد کننده
amber,عنبر
qualifications,صلاحیت های
museums,موزه
coding,برنامه نویسی
slideshow,نمایش اسلاید
tracker,ردیاب
variation,تغییر
passage,گذرگاه
transferred,منتقل شده
trunk,تنه
hiking,پیاده روی
lb,پوند
damn,لعنت کردن
pierre,سوراخ
jelsoft,جلیقه
headset,عیار
photograph,عکس
oakland,اوکلند
colombia,کلمبیا
waves,امواج
camel,شتر
distributor,پخش کننده
lamps,لامپ
underlying,اساسی
hood,کاپوت ماشین
wrestling,کشتی
suicide,خودکشی کردن
archived,بایگانی شده
photoshop,فتوشاپ
jp,JP
chi,کوی
bt,بیت
arabia,عربستان
gathering,جمع
projection,پیش بینی
juice,آب میوه
chase,تعقیب
mathematical,ریاضی
logical,منطقی
sauce,سس
fame,شهرت
extract,استخراج کردن
specialized,تخصصی
diagnostic,تشخیص
panama,پانما
indianapolis,ایندیاناپولیس
af,عود
payable,قابل پرداخت
corporations,شرکت
courtesy,حسن نیت
criticism,انتقاد
automobile,خودرو
confidential,محرمانه
rfc,RFC
statutory,قانونی
accommodations,اسکان
athens,آتن
northeast,شمال شرقی
downloaded,بارگیری شده
judges,قضات
sl,سد
seo,سئو
retired,بازنشسته
isp,ISP
remarks,ملاحظات
detected,شناسایی شده
decades,دهه ها
paintings,نقاشی
walked,راه
arising,در حال بالا آمدن
nissan,نیسان
bracelet,دستبند
ins,ضخامت
eggs,تخم مرغ
juvenile,نوجوان
injection,تزریق
yorkshire,یورکشایر
populations,جمعیت
protective,محافظ
afraid,ترسیده
acoustic,صوتی
railway,راه آهن
cassette,کاست
initially,در ابتدا
indicator,نشانگر
pointed,خاطر نشان
hb,HB
jpg,jpg
causing,علت
mistake,اشتباه
norton,نورتون
locked,قفل شده
eliminate,از بین بردن
tc,TC
fusion,ذوب
mineral,معدنی
sunglasses,عینک آفتابی
ruby,یاقوت
steering,فرمان
beads,مهره
fortune,ثروت
preference,ترجیح
canvas,بوم
threshold,آستانه
parish,مجالس
claimed,مدعی
screens,صفحه نمایش
cemetery,قبرستان
planner,برنامه ریز
croatia,کرواسی
flows,جریان
stadium,استادیوم
venezuela,ونزوئلا
exploration,اکتشاف
mins,حداقل
fewer,کمتر
sequences,سکانس
coupon,کوپن
nurses,پرستار
ssl,SSL
stem,ساقه
proxy,پروکسی
gangbang,گندان
astronomy,ستاره شناسی
lanka,لانکا
opt,انتخاب کردن
edwards,ادواردز
drew,کله
contests,مسابقه
flu,آنفولانزا
translate,ترجمه کردن
announces,اعلام کردن
mlb,MLB
costume,لباس
tagged,با برچسب
berkeley,برکلی
voted,رأی داد
killer,قاتل
bikes,دوچرخه
gates,گیتس
adjusted,تنظیم شده
rap,ربوع
tune,اهنگ
bishop,راهب
pulled,کشیده
corn,ذرت
gp,پزشک معالج
shaped,شکل
compression,تراکم
seasonal,فصلی
establishing,تعیین کننده
farmer,مزرعه دار
counters,شمارنده
puts,قرار دادن
constitutional,مشروطه
grew,رشد کردن
perfectly,کاملاً
tin,قلع
slave,برده
instantly,فورا
cultures,کشت
norfolk,نورفولک
coaching,مربیگری
examined,معاینه
trek,پیاده روی طولانی
encoding,رمز
litigation,دادخواست
submissions,ارسال
oem,OEM
heroes,قهرمان
painted,نقاشی شده
lycos,لیکوس
ir,من
zdnet,Zdnet
broadcasting,صدا و سیما
horizontal,افقی
artwork,اثر هنری
cosmetic,وابسته به لوازم آرایشی
resulted,حاصل
portrait,پرتره
terrorist,تروریست
informational,اطلاعاتی
ethical,اخلاقی
carriers,حامل
ecommerce,تجارت الکترونیک
mobility,تحرک
floral,گل
builders,سازندگان
ties,روابط
struggle,تقلا
schemes,طرح
suffering,رنج کشیدن
neutral,خنثی
fisher,ماهیگیر
rat,موش
spears,نیزه
prospective,آینده نگر
dildos,دیلدوس
bedding,ملافه
ultimately,در نهایت
joining,پیوستن
heading,عنوان
equally,به همان اندازه
artificial,ساختگی
bearing,یاتاقان
spectacular,دیدنی و جذاب - تماشایی
coordination,هماهنگی
connector,اتصال
brad,جبهه
combo,دسته کوچک موسیقی جاز
seniors,سالمندان
worlds,جهان
guilty,گناهکار
affiliated,وابسته
activation,فعال سازی
naturally,به طور طبیعی
haven,پناهگاه
tablet,قرص
jury,هیئت داوران
dos,دوز
tail,دم
subscribers,مشترکین
charm,افسون
lawn,چمن
violent,خشن
mitsubishi,میتسوبیشی
underwear,زیر شلواری
basin,حوضه
soup,سوپ
potentially,بالقوه
ranch,در مرتع پرورش احشام
constraints,محدودیت ها
crossing,عبور
inclusive,شامل
dimensional,ابعادی
cottage,کلبه
drunk,مست
considerable,قابل توجه
crimes,جراح
resolved,حل شده
mozilla,موزیلا
byte,بایت
toner,تونر
nose,بینی
latex,لاتکس
branches,شاخه ها
anymore,دیگر
oclc,OCLC
delhi,دهلی
holdings,دارایی
alien,بیگانه
locator,یابنده
selecting,انتخاب
processors,پردازنده ها
pantyhose,جوراب شلواری
plc,PLC
broke,شکست
nepal,نپال
zimbabwe,زیمبابوه
difficulties,مشکلات
juan,خوان
complexity,پیچیدگی
msg,مگس
constantly,دائما
browsing,مرور
resolve,برطرف کردن
barcelona,بارسلونا
presidential,ریاست جمهوری
documentary,مستند
cod,کادو
territories,سرزمین
melissa,ملیسا
moscow,مسکو
thesis,پایان نامه
thru,از طریق
jews,یهودیان
nylon,نایلون
palestinian,فلسطینی
discs,دیسک
rocky,سنگی
bargains,چانه
frequent,زود زود
trim,دورتر
nigeria,نیجریه
ceiling,سقف
pixels,پیکسل
ensuring,تضمین کردن
hispanic,وابسته به اسپانیایی
cv,رزومه
cb,CB
legislature,قوه مقننه
hospitality,مهمان نوازی
gen,ژنرال
anybody,هر شخصی
procurement,تدارکات
diamonds,الماس
espn,ESPN
fleet,ناوگان
untitled,بدون عنوان
bunch,دسته
totals,جمع کل
marriott,ماریا
singing,آواز
theoretical,نظری
afford,استطاعت داشتن
exercises,تمرینات
starring,بازیگر
referral,معرف
nhl,NHL
surveillance,نظارت
optimal,بهینه
quit,ترک
distinct,متمایز
protocols,پروتکل های
lung,ریه
highlight,برجسته
substitute,جایگزین
inclusion,شمول
hopefully,خوشبختانه
brilliant,درخشان
turner,ترنر
sucking,مکنده
cents,سنت
reuters,رویترز
ti,قله
fc,FC
gel,ژل
todd,تاد
spoken,گفتار
omega,امگا
evaluated,ارزیابی شده
stayed,بماند
civic,مدنی
assignments,تکالیف
fw,FW
manuals,کتابچه راهنمای
doug,داگ
sees,می بیند
termination,خاتمه دادن
watched,مراقب
saver,پس انداز
thereof,از آن
grill,کوره
households,خانوار
gs,gs
redeem,از گرو در اوردن
rogers,راجرز
grain,غلات
aaa,AAA
authentic,معتبر
regime,رژیم
wanna,تمایل
wishes,خواسته
bull,گاو نر
montgomery,مونتگومری
architectural,معماری
louisville,لوئیزویل
depend,وابسته بودن
differ,فرق داشتن
macintosh,ماکینتوش
movements,حرکات
ranging,در دام
monica,مونیکا
repairs,تعمیرات
breath,نفس
amenities,تسهیلات
virtually,واقعا
cole,کول
mart,محوطه بزرگ
candle,شمع
hanging,حلقون
colored,رنگارنگ
authorization,اعتبار
tale,داستان
verified,تأیید شده
lynn,لین
formerly,سابق
projector,پروژکتور
bp,جبهه
situated,واقع شده
comparative,مقایسه ای
std,std
seeks,جستجو
herbal,گیاهی
loving,با محبت
strictly,موکدا
routing,مسیریابی
docs,اسناد
stanley,استنلی
psychological,روانشناسی
surprised,غافلگیر شدن
retailer,خرده فروش
vitamins,ویتامین ها
elegant,ظریف
gains,دستاورد
renewal,بازسازی
vid,در
genealogy,شجره نامه
opposed,مخالف
deemed,تلقی
scoring,امتیاز دهی
expenditure,هزینه
panties,شورت
brooklyn,بروکلین
liverpool,لیورپول
sisters,خواهران
critics,منتقدین
connectivity,اتصال
spots,لکه
oo,اوو
algorithms,الگوریتم
hacker,هکر
madrid,مادرید
similarly,به همین ترتیب
margin,لبه
coin,سکه
bbw,BBW
solely,فقط
fake,جعلی
salon,سالن
collaborative,مبتنی بر همکاری
norman,وابسته به نرمان
fda,FDA
excluding,استثناء
turbo,توربو
headed,سر
voters,رأی دهنده
cure,درمان
madonna,مدونا
commander,فرمانده
arch,قوس
ni,عکسبرداری
murphy,مورفی
thinks,فکر کردن
thats,یعنی
suggestion,پیشنهاد
hdtv,HDTV
soldier,سرباز
phillips,فیلیپس
asin,عیاشی
aimed,هدف
justin,جاستین
bomb,بمباران
harm,صدمه
interval,فاصله
mirrors,آینه
spotlight,نور افکن
tricks,ترفند
reset,بازپا
brush,قلم مو
investigate,تحقیق کردن
thy,تو
expansys,گسترش
panels,پانل
repeated,تکراری
assault,حمله
connecting,برقراری ارتباط
spare,یدکی
logistics,لجستیک
deer,گوزن
kodak,کداک
tongue,زبان
bowling,بولینگ
tri,سه
danish,وابسته به دانمارکی
pal,رفیق
monkey,میمون
proportion,تناسب، قسمت
filename,نام فایل
skirt,دامن
florence,فلورانس
invest,سرمایه گذاری
honey,عسل
um,هام
analyzes,تجزیه و تحلیل
drawings,نقشه ها
significance,اهمیت
scenario,سناریو
ye,شما
fs,fs
lovers,دوستداران
atomic,مربوط به اتمی
approx,تقریباً
symposium,همیشگی
arabic,عربی
gauge,پیمانه
essentials,ملزومات
junction,اتصال
protecting,محافظت کننده
nn,nn
faced,در مواجهه
mat,حصیر
rachel,ریچل
solving,حل
transmitted,منتقل شده
weekends,آخر هفته
screenshots,عکس
produces,تولید کردن
oven,فر
ted,تداب
intensive,متمرکز
chains,زنجیر
kingston,کینگستون
sixth,ششم
engage,مشغول کردن
deviant,منحرف
noon,ظهر
switching,تعویض
quoted,نقل شده
adapters,آداپتورها
correspondence,مکاتبات
farms,مزارع
imports,وارد کردن
supervision,نظارت
cheat,تقلب
bronze,برنز
expenditures,هزینه
sandy,شنی
separation,جدایش، جدایی
testimony,شهادت
suspect,مظنون بودن
celebrities,افراد مشهور
macro,کلان
sender,فرستنده
mandatory,اجباری
boundaries,مرزها
crucial,حیاتی
syndication,اندیشه
gym,سالن ورزش
celebration,جشن
kde,kde
adjacent,مجاور
filtering,تصفیه
tuition,شهریه
spouse,همسر
exotic,خارجی
viewer,بیننده
signup,ثبت نام
threats,تهدیدات
luxembourg,لوکزامبورگ
puzzles,معما
reaching,صعود
vb,VB
damaged,آسیب دیده
cams,بادامک
receptor,گیرنده
piss,شستشو
laugh,خنده
joel,جوی
surgical,جراحی
destroy,از بین رفتن
citation,استناد
pitch,گام صدا
autos,خودروهای
yo,یوم
premises,محل
perry,پری
proved,ثابت
offensive,توهین آمیز
imperial,امپراتوری
dozen,دوجین
benjamin,بنیاد
deployment,گسترش
teeth,دندان
cloth,پارچه
studying,در حال مطالعه
colleagues,همکاران
stamp,مهر
lotus,لوتوس
salmon,ماهی سالمون
olympus,المپوس
separated,جدا از هم
proc,محور
cargo,بار
tan,برنزه
directive,بخشنده
fx,FX
salem,سلم
mate,رفیق
dl,DL
starter,شروع کننده
upgrades,ارتقاء
likes,دوست دارد
butter,کره
pepper,فلفل
weapon,سلاح
luggage,بار مسافر
burden,بار
chef,سرآشپز
tapes,نوارها
zones,حوزه
races,مسابقه
isle,جزیره
stylish,خوش استیل
slim,لاغر
maple,افراطی
luke,لک
grocery,خواربار
offshore,دریایی
governing,حکومت داری
retailers,خرده فروشان
depot,انبار
kenneth,کنت
comp,ترکیب
alt,با صفر
pie,پیت کردن
blend,مخلوط کردن
harrison,هریسون
ls,لس
julie,جولی
occasionally,گاه و بیگاه
cbs,CBS
attending,در
emission,ظهور
pete,پیت
spec,نشان
finest,عالی
realty,اموال
janet,جنت
bow,تعظیم
penn,پنگ
recruiting,استخدام
apparent,آشکار
instructional,آموزش
phpbb,PHPBB
autumn,فصل پاييز
traveling,سفر
probe,پویشگر
midi,میانه
permissions,مجوزها
biotechnology,بیوتکنولوژی
toilet,توالت
ranked,دارای رتبه
jackets,کاپشن
routes,مسیر
packed,بسته بندی شده
excited,برانگیخته
outreach,تماس با ما
helen,هلن
mounting,نصب
recover,بهبودی پیدا کردن
tied,گره خورده است
lopez,لوپز
balanced,متعادل
prescribed,تجویز شده
catherine,کاترین
timely,به موقع
talked,صحبت
upskirts,دامن
debug,اشکال زدن
delayed,به تأخیر انداختن
chuck,دور انداختن
reproduced,تکثیر شده
hon,عید
dale,دیل
explicit,صریح
calculation,محاسبه
villas,ویلا
ebook,کتاب الکترونیکی
consolidated,تلفیقی
boob,مشاجره
exclude,مستثنی کردن
peeing,لگد زدن
occasions,مواقع
brooks,بروکس
equations,معادلات
newton,نیوتن
oils,روغن
sept,سپاه
exceptional,استثنایی
anxiety,اضطراب
bingo,بینگو
whilst,در حالی که
spatial,فضایی
respondents,پاسخ دهندگان
unto,به
lt,آن
ceramic,سرامامیک
prompt,سریع
precious,گرانبها
minds,ذهن
annually,سالانه
considerations,ملاحظات
scanners,حكم
atm,دستگاه خودپرداز
xanax,زناکس
eq,معادله
pays,پرداخت کردن
cox,کاکس
fingers,انگشت
sunny,آفتابی
ebooks,کتابهای الکترونیکی
delivers,تحویل
je,JE
queensland,کوئینزلند
necklace,گردنبند
musicians,نوازندگان
leeds,لیدز
composite,کامپوزیت
unavailable,غیر قابل دسترسی
cedar,سدر
arranged,مرتب
lang,لنگ
theaters,تئاتر
advocacy,دفاع
raleigh,غوغا
stud,گل میخ
fold,تا کردن
essentially,اساسا
designing,طراحی
threaded,نخ دار
uv,ماوراء بنفش
qualify,واجد شرایط شدن
fingering,انگشت
blair,جنجال
hopes,امیدها
assessments,ارزیابی
cms,CMS
mason,ماسون
diagram,نمودار
burns,می سوزد
pumps,پمپ
